Type                                  Module                      Label             Process   
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterECAL"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterOOTECAL"   "PFClusterAssociationEBEE"   "RECO"    
edm::ValueMap<edm::Ptr<reco::CaloCluster> >    "particleFlowSuperClusterOOTECAL"   "PFClusterAssociationES"   "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "RECO"    
edm::ValueMap<edm::Ref<vector<reco::Photon>,reco::Photon,edm::refhelper::FindUsingAdvance<vector<reco::Photon>,reco::Photon> > >    "gedPhotons"                "valMapPFEgammaCandToPhoton"   "RECO"    
edm::ValueMap<float>                  "ak8PFJetsCHSSoftDropMass"   ""                "RECO"    
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "RECO"    
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"    
edm::ValueMap<int>                    "dedxHitInfo"               "prescale"        "RECO"    
edm::ValueMap<reco::CastorJetID>      "ak5CastorJetID"            ""                "RECO"    
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "RECO"    
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "RECO"    
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "RECO"    
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "RECO"    
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "RECO"    
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "RECO"    
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "RECO"    
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "RECO"    
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"    
reco::BeamSpot                        "onlineMetaDataDigis"       ""                "RECO"    
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "RECO"    
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "RECO"    
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "RECO"    
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "RECO"    
vector<LumiScalers>                   "scalersRawToDigi"          ""                "RECO"    
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RECO"    
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RECO"    
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RECO"    
vector<reco::CaloCluster>             "hfEMClusters"              ""                "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALBarrel"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALEndcap"   "RECO"    
vector<reco::CaloCluster>             "particleFlowSuperClusterOOTECAL"   "particleFlowBasicClusterOOTECALPreshower"   "RECO"    
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapBasicClusters"   "RECO"    
vector<reco::CastorTower>             "CastorTowerReco"           ""                "RECO"    
vector<reco::Conversion>              "conversions"               ""                "RECO"    
vector<reco::Conversion>              "particleFlowEGamma"        ""                "RECO"    
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "RECO"    
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "RECO"    
vector<reco::Muon>                    "muons"                     ""                "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHBHE"    "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHF"      "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "RECO"    
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "RECO"    
vector<reco::Photon>                  "ootPhotons"                ""                "RECO"    
vector<reco::PhotonCore>              "ootPhotonCore"             ""                "RECO"    
vector<reco::PhotonCore>              "photonCore"                ""                "RECO"    
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "RECO"    
vector<reco::SuperCluster>            "hfEMClusters"              ""                "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALBarrel"   "RECO"    
vector<reco::SuperCluster>            "particleFlowSuperClusterOOTECAL"   "particleFlowSuperClusterOOTECALEndcapWithPreshower"   "RECO"    
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "RECO"    
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapSuperClusters"   "RECO"    
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "RECO"    
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "RECO"    
vector<reco::Track>                   "cosmicsVetoTracks"         ""                "RECO"    
vector<reco::Track>                   "displacedGlobalMuons"      ""                "RECO"    
vector<reco::Track>                   "generalTracks"             ""                "RECO"    
vector<reco::Track>                   "globalMuons"               ""                "RECO"    
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "RECO"    
vector<reco::Track>                   "standAloneMuons"           ""                "RECO"    
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "RECO"    
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "RECO"    
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "RECO"    
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "RECO"    
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "RECO"    
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Lambda"          "RECO"    
